"toolid","moduleid","recipeid","lotid","carrierid","slotno","waferid","recipestepno","sdate","edate"
tesla_sensor,model_3,tesla_recipe.128,Battery,CHAdeMo,8,"08",3,2024-01-04 14:13:02.780,2024-01-04 14:13:12.790
tesla_sensor,model_3,tesla_recipe.128,Battery,CHAdeMo,8,"08",4,2024-01-04 14:13:12.790,2024-01-04 14:13:13.840
tesla_sensor,model_3,tesla_recipe.128,Battery,CHAdeMo,8,"08",5,2024-01-04 14:13:13.840,2024-01-04 14:13:14.850
tesla_sensor,model_3,tesla_recipe.128,Battery,CHAdeMo,8,"08",6,2024-01-04 14:13:14.850,2024-01-04 14:14:04.890
tesla_sensor,model_3,tesla_recipe.128,Battery,CHAdeMo,8,"08",7,2024-01-04 14:14:04.890,2024-01-04 14:14:05.940
tesla_sensor,model_3,tesla_recipe.128,Battery,CHAdeMo,8,"08",8,2024-01-04 14:14:05.940,2024-01-04 14:14:10.970
tesla_sensor,model_3,tesla_recipe.128,Battery,CHAdeMo,8,"08",9,2024-01-04 14:14:10.970,2024-01-04 14:14:14.150
tesla_sensor,model_3,tesla_recipe.128,Battery,CHAdeMo,8,"08",10,2024-01-04 14:14:14.150,2024-01-04 14:14:24.160
tesla_sensor,model_3,tesla_recipe.129,Wiper Blades,CHAdeMo,9,"09",1,2024-01-04 14:38:54.150,2024-01-04 14:39:01.220
tesla_sensor,model_3,tesla_recipe.129,Wiper Blades,CHAdeMo,9,"09",2,2024-01-04 14:39:01.220,2024-01-04 14:39:06.230
tesla_sensor,model_3,tesla_recipe.129,Wiper Blades,CHAdeMo,9,"09",3,2024-01-04 14:39:06.230,2024-01-04 14:39:16.240
tesla_sensor,model_3,tesla_recipe.129,Wiper Blades,CHAdeMo,9,"09",4,2024-01-04 14:39:16.240,2024-01-04 14:39:17.290
tesla_sensor,model_3,tesla_recipe.129,Wiper Blades,CHAdeMo,9,"09",5,2024-01-04 14:39:17.290,2024-01-04 14:39:18.300
tesla_sensor,model_3,tesla_recipe.129,Wiper Blades,CHAdeMo,9,"09",6,2024-01-04 14:39:18.300,2024-01-04 14:39:43.340
tesla_sensor,model_3,tesla_recipe.129,Wiper Blades,CHAdeMo,9,"09",7,2024-01-04 14:39:43.340,2024-01-04 14:39:44.390
tesla_sensor,model_3,tesla_recipe.129,Wiper Blades,CHAdeMo,9,"09",8,2024-01-04 14:39:44.390,2024-01-04 14:39:49.420
tesla_sensor,model_3,tesla_recipe.129,Wiper Blades,CHAdeMo,9,"09",9,2024-01-04 14:39:49.420,2024-01-04 14:39:52.600
tesla_sensor,model_3,tesla_recipe.129,Wiper Blades,CHAdeMo,9,"09",10,2024-01-04 14:39:52.600,2024-01-04 14:40:02.610
tesla_sensor,model_3,tesla_recipe.130,Wiper Blades,CHAdeMo,10,"10",1,2024-01-04 14:42:35.410,2024-01-04 14:42:42.450
tesla_sensor,model_3,tesla_recipe.130,Wiper Blades,CHAdeMo,10,"10",2,2024-01-04 14:42:42.450,2024-01-04 14:42:47.460
tesla_sensor,model_3,tesla_recipe.130,Wiper Blades,CHAdeMo,10,"10",3,2024-01-04 14:42:47.460,2024-01-04 14:42:57.470
tesla_sensor,model_3,tesla_recipe.130,Wiper Blades,CHAdeMo,10,"10",4,2024-01-04 14:42:57.470,2024-01-04 14:42:58.520
tesla_sensor,model_3,tesla_recipe.130,Wiper Blades,CHAdeMo,10,"10",5,2024-01-04 14:42:58.520,2024-01-04 14:42:59.530
tesla_sensor,model_3,tesla_recipe.130,Wiper Blades,CHAdeMo,10,"10",6,2024-01-04 14:42:59.530,2024-01-04 14:43:49.570
tesla_sensor,model_3,tesla_recipe.130,Wiper Blades,CHAdeMo,10,"10",7,2024-01-04 14:43:49.570,2024-01-04 14:43:50.620
tesla_sensor,model_3,tesla_recipe.130,Wiper Blades,CHAdeMo,10,"10",8,2024-01-04 14:43:50.620,2024-01-04 14:43:55.650
tesla_sensor,model_3,tesla_recipe.130,Wiper Blades,CHAdeMo,10,"10",9,2024-01-04 14:43:55.650,2024-01-04 14:43:58.830
