"time","toolid","moduleid","type","event","action","caller","recipeid","recipestepno","acttime","lotid","carrierid","slotno","waferid","message","uuid"
2024-01-04 13:46:29.940,tesla_sensor,model_3,S,windows install,STEP END,"","",0,0,Battery,CHAdeMo,1,"01","",c05d6381-a6c7-4fea-9908-0123825aeeed
2023-11-28 10:53:54.020,tesla_sensor,model_Y,S,radors install,STEP START,"","",0,0,"","",0,"","",a7c874a5-f50a-4de3-a043-bd85f17cf69a
2024-01-04 15:36:48.830,tesla_sensor,model_3,S,ROUGH,STEP START,"","",0,0,"","",0,"","","914795d9-844f-4240-8797-6e4c02d1297e"
2024-01-04 15:55:14.550,tesla_sensor,model_3,S,SETUP HEAT,STEP START,"","",0,0,"","",0,"","",fa0cee89-ca24-4821-a631-07c1e22876db
2024-01-04 15:59:57.160,tesla_sensor,model_3,D,RF2 PS,AUTO EXIT,SPT PROCESS,"",0,0,"","",0,"","",a060c4fd-eeba-4a45-82e3-8616c6c605fd
2024-01-04 16:17:39.260,tesla_sensor,model_3,D,ASST TMP PUMPV,AUTO EXIT,END PRCS,"",0,0,"","",0,"","","8ff6f457-21ee-4387-bb98-76067d5eb0ef"
2024-01-04 13:32:13.950,tesla_sensor,model_3,S,radors install,STEP END,"","",0,0,"","",0,"","","5fc50997-696f-4bbf-ac38-dc94ff1fdde6"
2024-01-04 15:43:00.680,tesla_sensor,model_3,S,radors install,STEP START,"","",0,0,"","",0,"","","8320dea1-db14-47ad-bb2a-15cd74d29acc"
2023-11-28 15:35:24.880,tesla_sensor,model_Y,D,VENTV,AUTO EXIT,END PRCS,"",0,0,"","",0,"","",d01e8c51-5be7-4953-a04d-a0715c996e62
2024-01-04 15:30:42.430,tesla_sensor,model_3,S,SETUP,STEP START,"","",0,0,"","",0,"","",f19aaaa6-9fe3-433e-94e6-762b6869b3b2
2024-01-04 16:17:43.330,tesla_sensor,model_3,D,PRCS1 PWR,ON,SETUP,"",0,0,"","",0,"","","50ec53fc-4485-4f0b-af8d-7004092debf4"
2024-01-04 14:10:24.620,tesla_sensor,model_3,D,LIFTER,DOWN,UNLOAD,"",0,0,"","",0,"","","1a4b640e-5af1-4944-96e6-e327dd1cad6e"
2024-01-04 12:29:34.870,tesla_sensor,model_3,D,WTR DRAIN OUTV,AUTO EXIT,END PRCS,"",0,0,"","",0,"","","9125788b-d9af-4e49-b174-7d666267ee34"
2023-11-28 10:18:05.110,tesla_sensor,model_Y,S,sensor install,STEP START,"","",0,0,"","",0,"","","63a5a821-b2fe-4e8c-982e-1c2cb296febd"
2023-11-28 11:39:43.690,tesla_sensor,model_Y,D,TM MOVE,ON,SETUP,"",0,0,"","",0,"","",af8439b2-9dae-4d32-9e4e-c1dbe28b760d
2023-11-28 11:51:42.630,tesla_sensor,model_Y,D,SHTR,CLOSE,SHTR SET,"",0,0,"","",0,"","",d685fa00-81f4-4abd-ac8b-999c0b23c982
2023-11-28 11:52:17.180,tesla_sensor,model_Y,D,MFC2 IAC,ON,SPT PROCESS,"",0,0,"","",0,"","","97cf40cd-775a-4ea0-b70a-df105272590f"
2023-11-28 14:36:26.160,tesla_sensor,model_Y,D,DGV,AUTO EXIT,SETUP,"",0,0,"","",0,"","","806b8c0f-09a7-4974-8895-8f50de61b2ec"
2023-11-28 14:39:08.040,tesla_sensor,model_Y,D,SHIELD,UP,SHTR RESET,"",0,0,"","",0,"","","37072b9c-b001-4c10-8ded-76bce4463350"
2023-11-28 14:44:13.080,tesla_sensor,model_Y,D,MFC3 INLETV,AUTO EXIT,SPT PROCESS,"",0,0,Tires,"",0,"","","13d0122e-fdfd-44a3-b1a4-703bec4ea8e1"
2023-11-28 15:14:13.290,tesla_sensor,model_Y,D,IG DEGAS,OFF,END PRCS,"",0,0,"","",0,"00","","12bef146-a1cd-4a6c-896b-216f4e31cb80"
2024-01-04 14:02:27.860,tesla_sensor,model_3,D,LIFTER,DOWN,UNLOAD,"",0,0,"","",0,"","","54f05480-0413-43cf-a6bb-353f19775bef"
2024-01-04 14:59:40.640,tesla_sensor,model_3,D,PRCS1 PS,OFF,SPT PROCESS,F2_EUNO-14,0,0,Wiper Blades,CHAdeMo,14,"14","",eb83c272-a1b4-460a-814b-2d29ef29e52d
2024-01-04 12:29:34.870,tesla_sensor,model_3,D,VENTV,AUTO EXIT,END PRCS,"",0,0,"","",0,"","",c7953359-a853-4b7b-b84d-3acb4b2bc1cf
2024-01-04 13:45:21.340,tesla_sensor,model_3,D,MAGNET,AUTO EXIT,MAG POS CONTROL,"",0,0,Battery,"",0,"","",c7e75234-faa3-4cf0-af52-ce56a03da481
2024-01-04 15:59:37.360,tesla_sensor,model_3,D,SHIELD,AUTO EXIT,LOAD,"",0,0,Transmission,"",0,"","","2f1ee002-07d7-41fd-a3a2-3d2d455cf261"
2024-01-04 15:08:05.770,tesla_sensor,model_3,S,PUMP START,STEP START,"","",0,0,"","",0,"","","42ef6fae-b401-40c3-a7e4-3c9738bdf046"
2023-11-28 11:18:13.820,tesla_sensor,model_Y,S,radors install,STEP END,"","",0,0,"","",0,"","","115d7832-77eb-4708-9331-fa349de55f10"
2024-01-04 15:06:45.960,tesla_sensor,model_3,D,PRCS1 PS,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","",ecc58ce9-ed23-4a18-bdc8-7063a6e4dc8d
2024-01-04 15:47:02.700,tesla_sensor,model_3,S,STOP,STEP END,"","",0,0,"","",0,"","","1f08ea1c-6955-4ef4-aa34-1c6afc95539c"
